843598,Unassigned,,,Skipped,Download link not found
844499,6384408,media_17.jpg,sera_media\Customer_844499\Job_6384408\media_17.jpg,Downloaded,
844499,6384411,media_18.jpg,sera_media\Customer_844499\Job_6384411\media_18.jpg,Downloaded,
844499,6384403,media_19.jpg,sera_media\Customer_844499\Job_6384403\media_19.jpg,Downloaded,
844553,1284693,media_1.jpg,sera_media\Customer_844553\Job_1284693\media_1.jpg,Downloaded,
844553,1284693,media_2.jpg,sera_media\Customer_844553\Job_1284693\media_2.jpg,Downloaded,
844553,1284693,media_3.jpg,sera_media\Customer_844553\Job_1284693\media_3.jpg,Downloaded,
844743,1978065,media_1.jpg,sera_media\Customer_844743\Job_1978065\media_1.jpg,Downloaded,
844743,1978065,media_2.jpg,sera_media\Customer_844743\Job_1978065\media_2.jpg,Downloaded,
844743,5001291,media_3.jpg,sera_media\Customer_844743\Job_5001291\media_3.jpg,Downloaded,
844743,5001291,media_4.jpg,sera_media\Customer_844743\Job_5001291\media_4.jpg,Downloaded,
844743,5001291,media_5.jpg,sera_media\Customer_844743\Job_5001291\media_5.jpg,Downloaded,
844743,5001291,media_6.jpg,sera_media\Customer_844743\Job_5001291\media_6.jpg,Downloaded,
844743,5001291,media_7.jpg,sera_media\Customer_844743\Job_5001291\media_7.jpg,Downloaded,
844743,6280415,media_8.jpg,sera_media\Customer_844743\Job_6280415\media_8.jpg,Downloaded,
843598,Unknown,,,Error,"'config' is not implemented for CTk widgets. For consistency, always use 'configure' instead."
843598,Unknown,,,Error,"'config' is not implemented for CTk widgets. For consistency, always use 'configure' instead."
843598,Unknown,,,Error,"'config' is not implemented for CTk widgets. For consistency, always use 'configure' instead."
843598,Unknown,quote_627392_signed_2022-02-17_8:08am.pdf,,Error,"'config' is not implemented for CTk widgets. For consistency, always use 'configure' instead."
843598,Unknown,invoice_1040003_signed_2022-02-17.pdf,,Error,"'config' is not implemented for CTk widgets. For consistency, always use 'configure' instead."
843598,Unknown,quote_667430_signed_2022-05-10_1:50pm.pdf,,Error,"'config' is not implemented for CTk widgets. For consistency, always use 'configure' instead."
843598,Unknown,invoice_1236662_signed_2022-05-10.pdf,,Error,"'config' is not implemented for CTk widgets. For consistency, always use 'configure' instead."
843598,Unknown,1556830766_BBCE5F7D-1B99-4B76-8762-B9F3AC03D16B.jpeg,,Error,"'config' is not implemented for CTk widgets. For consistency, always use 'configure' instead."
843598,Unknown,1556830765_4DEFF37D-5DB6-422B-A846-FF3D6BAF3E72.jpeg,,Error,"'config' is not implemented for CTk widgets. For consistency, always use 'configure' instead."
843598,Unknown,1556830763_947D4556-72F9-409E-86FB-F4FA2459430A.jpeg,,Error,"'config' is not implemented for CTk widgets. For consistency, always use 'configure' instead."
843598,Unknown,1556830763_6AC60B0D-8901-4F56-8756-9D38C95888E8.jpeg,,Error,"'config' is not implemented for CTk widgets. For consistency, always use 'configure' instead."
843598,Unknown,1556830762_6EF5509F-8602-46AE-B260-43BEB0F05744.jpeg,,Error,"'config' is not implemented for CTk widgets. For consistency, always use 'configure' instead."
843598,Unknown,1556830761_7B595202-4FDF-4C7D-AF73-3016C255D7D0.jpeg,,Error,"'config' is not implemented for CTk widgets. For consistency, always use 'configure' instead."
843598,Unknown,1556830758_2DAA547D-C351-4AEC-9AA2-29D8A6CCB372.jpeg,,Error,"'config' is not implemented for CTk widgets. For consistency, always use 'configure' instead."
843598,Unknown,1556830753_63DF7AA1-16F6-4E13-8AE0-559110846E6F.jpeg,,Error,"'config' is not implemented for CTk widgets. For consistency, always use 'configure' instead."
843598,Unknown,1556830748_6140FC63-9653-49F0-A102-67F9D85174BA.jpeg,,Error,"'config' is not implemented for CTk widgets. For consistency, always use 'configure' instead."
843598,Unknown,1556830747_AFB4D4D1-7FDA-4DD8-AF8F-F5D45DEDCF1D.jpeg,,Error,"'config' is not implemented for CTk widgets. For consistency, always use 'configure' instead."
843598,Unknown,1556830747_27881FD0-5DF7-4F54-BD84-8F3F59AEE9F1.jpeg,,Error,"'config' is not implemented for CTk widgets. For consistency, always use 'configure' instead."
843598,Unknown,quote_998981_signed_2023-04-26_9:16am.pdf,,Error,"'config' is not implemented for CTk widgets. For consistency, always use 'configure' instead."
843598,Unknown,invoice_3507079_signed_2023-04-26.pdf,,Error,"'config' is not implemented for CTk widgets. For consistency, always use 'configure' instead."
843598,Unknown,quote_1296816_signed_2023-10-12_9:08am.pdf,,Error,"'config' is not implemented for CTk widgets. For consistency, always use 'configure' instead."
843598,Unknown,invoice_4774501_signed_2023-10-12.pdf,,Error,"'config' is not implemented for CTk widgets. For consistency, always use 'configure' instead."
843598,Unknown,quote_1413663_signed_2023-12-21_3:14pm.pdf,,Error,"'config' is not implemented for CTk widgets. For consistency, always use 'configure' instead."
843598,Unknown,invoice_5112578_signed_2023-12-21.pdf,,Error,"'config' is not implemented for CTk widgets. For consistency, always use 'configure' instead."
843598,Unknown,,,Error,"'config' is not implemented for CTk widgets. For consistency, always use 'configure' instead."
843598,Unknown,,,Error,"'config' is not implemented for CTk widgets. For consistency, always use 'configure' instead."
843598,Unknown,,,Error,"'config' is not implemented for CTk widgets. For consistency, always use 'configure' instead."
843598,Unknown,quote_627392_signed_2022-02-17_8:08am.pdf,,Error,"'config' is not implemented for CTk widgets. For consistency, always use 'configure' instead."
843598,Unknown,invoice_1040003_signed_2022-02-17.pdf,,Error,"'config' is not implemented for CTk widgets. For consistency, always use 'configure' instead."
843598,Unknown,quote_667430_signed_2022-05-10_1:50pm.pdf,,Error,"'config' is not implemented for CTk widgets. For consistency, always use 'configure' instead."
843598,Unknown,invoice_1236662_signed_2022-05-10.pdf,,Error,"'config' is not implemented for CTk widgets. For consistency, always use 'configure' instead."
843598,Unknown,1556830766_BBCE5F7D-1B99-4B76-8762-B9F3AC03D16B.jpeg,,Error,"'config' is not implemented for CTk widgets. For consistency, always use 'configure' instead."
843598,Unknown,1556830765_4DEFF37D-5DB6-422B-A846-FF3D6BAF3E72.jpeg,,Error,"'config' is not implemented for CTk widgets. For consistency, always use 'configure' instead."
843598,Unknown,1556830763_947D4556-72F9-409E-86FB-F4FA2459430A.jpeg,,Error,"'config' is not implemented for CTk widgets. For consistency, always use 'configure' instead."
843598,Unknown,1556830763_6AC60B0D-8901-4F56-8756-9D38C95888E8.jpeg,,Error,"'config' is not implemented for CTk widgets. For consistency, always use 'configure' instead."
843598,Unknown,1556830762_6EF5509F-8602-46AE-B260-43BEB0F05744.jpeg,,Error,"'config' is not implemented for CTk widgets. For consistency, always use 'configure' instead."
